ID,question,answer,category,type,points
764,Wie heißt der leibliche Vater des Nachwuchs-Models Leni Klum?,Flavio Briatore,,,
765,Improvisations-Comedy im Fernsehen gab es jahrelang in der Sendung Schiller-...?,Straße,,,
766,Welche Insel in Südostasien ist die drittgrößte Insel der Welt?,Borneo,,,
767,"In welcher Sportart wird das Spiel nach einer Unterbrechung laut Regeln mit einem ""Gedränge"" fortgesetzt?",Rugby,,,
768,"Wessen einziger Roman beginnt mit den Worten: ""Mein Name ist Arthur Gordon Pym""?",Edgar Allan Poe,,,
769,"Die Kontrollfrage nach welchem Kasus lautet ""wer"" oder ""was""?","Nominativ, Wer-Fall, 1. Fall",,,
770,Welche parteipolitische Farbe hat das Finanzministerium der Ampel?,Gelb,,,
771,Wie wird die Vorauszahlung für Energiekosten an den Versorger genannt?,"Abschlag, Abschlagszahlung",,,
772,Welcher persische Herrscher befreite die Juden aus dem babylonischen Exil?,"Kyros (der Große), Kyros II.",,,
773,"Welchen Fußball-Bundesligaverein nennt man auch ""Die roten Bullen""?",RB Leipzig,,,
774,Eine Tiegelzange benötigt man in welchem Schulfach?,"Chemie, Chemieunterricht",,,
775,Zu welchem Bundesland gehört die Insel Neuwerk?,Hamburg,,,
776,Welches Sternbild in der Nähe des Himmelsäquators ist nach einem Navigationsinstrument benannt?,Sextant,,,
777,Das Anlegen welches Gurtes wurde in der Bundesrepublik am 1. Januar 1976 zur Pflicht?,"Sicherheitsgurt, Auto/Fahrzeug-Sicherheitsgurt",,,
778,"Mit welcher Band veröffentlichte H. P. Baxxter den Song ""FCK 2020""?",Scooter,,,
779,Wer wurde laut Bibel unglaubliche 969 Jahre alt?,Methusalem,,,
780,Wer war von 54 bis 68 nach Christus Römischer Kaiser?,"Nero, Nero Claudius Caesar Augustus Germanicus",,,
781,"Wie nennt man das Ende eines Bettes, das dem Kopfende gegenüberliegt?",Fußende,,,
782,"Welcher Fluss fließt durch Dresden, Magdeburg und Hamburg?",Elbe,,,
783,"Jede Tagesschau endet mit welcher ""Vorhersage""?","Wettervorhersage, Wetter",,,
784,Welches bedeutende Kunstmuseum befindet sich unmittelbar am Maschsee in Hannover?,Sprengel-Museum,,,
785,"Welcher Kabarettist prägte den Satz: ""Wenn man keine Ahnung hat, einfach mal die Fresse halten""?",Dieter Nuhr,,,
786,Als was für einen Abend bezeichnet man bei uns den 24. Dezember?,"Heiligabend, Weihnachtsabend",,,
787,"Welches Laub schmückt die deutschen 1-, 2- und 5-Cent-Münzen?",Eichenlaub,,,
788,Im Juni 2021 wurde Izchak Herzog neuer Staatspräsident von ...?,Israel,,,
789,Welches Mathegenie entwickelte als 15-Jähriger eine Formel zur Verteilung der Primzahlen?,(Carl Friedrich) Gauß,,,
790,"Spielt ein Außenspieler den Fußball hoch vor das gegnerische Tor, dann schlägt er eine ...?",Flanke,,,
791,"Der Nominativ Plural von ""Puma"" lautet ...?",Pumas,,,
792,"Welcher Mads spielt die Hauptrolle in der Filmkomödie ""Helden der Wahrscheinlichkeit""?",Mikkelsen,,,
793,Eines der sieben Weltwunder war das Mausoleum von ...?,"Halikarnassos, König Mausolos (II.)",,,
794,"Welche Steine sind laut Marilyn Monroe ""girl's best friend""?","Diamanten, Diamonds",,,
795,Welche deutsche Stadt hat nach Berlin die größte Fläche?,Hamburg,,,
796,"Welches Stück Rindfleisch ist der Übersetzung aus dem Französischen nach ein ""dünner Faden""?",Filet,,,
797,"Das ""Selbstbildnis im Pelzrock"" schuf im Jahr 1500 welcher Maler?",(Albrecht) Dürer,,,
798,Wie viele Farben hat die schwedische Flagge?,2,,,
799,Welcher Fußballverein wurde 2021 französischer Pokalsieger?,"PSG, Paris Saint-Germain",,,
800,Der Rapper Marsimoto ist unter welchem Künstlernamen besser bekannt?,Marteria,,,
801,Herr Argan ist die Hauptfigur welches Theaterstücks von Molière?,"Der eingebildete Kranke, Le Malade Imaginaire",,,
802,"In welcher Stadt sieht man die Sir-Winston-Churchill-Statue, wenn man die U-Bahn-Station Westminster verlässt?",London,,,
804,Was bezeichnet einen Auftrag sowie den Abbruch eines Vorhabens?,Aufgabe,,,
805,"Welcher Fluss fließt durch Mainz, Koblenz und Düsseldorf?",Rhein,,,
806,Ein Trekkie ist ein Fan welcher Science-Fiction-Filmreihe?,"Star Trek, Raumschiff Enterprise",,,
807,"In welchem Museum Madrids hängt seit 1992 Picassos Gemälde ""Guernica""?",Reina Sofía,,,
808,"Welcher Kabarettist, Satiriker und Slam-Poet gibt als Beruf ""Demotivationstrainer"" an?",Nico Semsrott,,,
809,Zu Ostern feiert man in der Kirche wessen Auferstehung?,"Jesus Christus, Christi",,,
810,Welcher Thomas ist auf der 2-Dollar-Note abgebildet?,Jefferson,,,
811,"Welches Land ist das weltweit letzte, in dem ein Kaiser residiert?",Japan,,,
812,"Wie lautete der Vorname des Physikers, nach dem die Einheit Hertz benannt ist?","Heinrich, Heinrich Rudolf",,,
813,"Wie nennt man im Fußball einen Torschuss, der im Rückwärtsfallen über den Kopf des Spielers ausgeführt wird?",Fallrückzieher,,,
814,"Der Nominativ Plural von ""Jaguar"" lautet ...?",Jaguare,,,
815,"Welcher Liam spielt die Hauptrolle im 2021 erschienenen Actionfilm ""The Ice Road""?",Neeson,,,
816,Welcher Turm ist das Wahrzeichen von Toronto in Kanada?,"CN Tower, Canadian National Tower",,,
817,Wie viele Menschen treten bei einem Triell gegeneinander an?,3,,,
818,In welcher Fernsehshow mit Wim Thoelke tauchten regelmäßig die Figuren Wum und Wendelin auf?,Der große Preis,,,
819,"Das Bild ""Diana und Callisto"" malte welcher Meister der Spätrenaissance?",Tizian,,,
820,Welcher antike Grieche schrieb erstmals die Gesetze Athens auf?,Drakon,,,
821,Aus welchem Land kommt DJ Ötzi?,Österreich,,,
822,"Wie heißt der einzige Ex-Präsident der USA, dessen Frau sich um dasselbe Amt bewarb?","Clinton, Bill Clinton",,,
823,"Aus welcher Stadt kommt das Team, das 2021 zum 11. Mal deutscher Volleyballmeister wurde?",Berlin,,,
824,"Welcher Friedrich Gottlieb schrieb das Gedicht ""Der Eislauf""?",Klopstock,,,
825,Um was für einen Wurm handelt es sich beim Roten Laubfresser?,Regenwurm,,,
826,Welches Filmdrama mit Robin Williams spielt an der Welton Academy?,"Der Club der toten Dichter, Dead Poets Society",,,
827,"Was heißt ""Allium ursinum"" und wird auch ""wilder Knoblauch"" genannt?",Bärlauch,,,
828,Wie heißt die vierte Physiknobelpreisträgerin der Geschichte?,Andrea Ghez,,,
829,"Schüchtert man jemanden mit heftigen Vorwürfen ein, so macht man ihn redensartlich zu welchem Weichtier?",Schnecke,,,
830,Welche Badebekleidung wird für die Benennung eines perfekten Sommerbodys benutzt?,Bikini,,,
831,"Um einen abgehalfterten Fernsehstar geht es in der Zeichentrickserie ""BoJack ...""?",Horsemann,,,
832,Mit welchem Ruder kann ein Pilot das Flugzeug um die Längsachse drehen?,Querruder,,,
833,Auf welchem Kontinent liegt Kanada?,"Amerika, Nordamerika",,,
834,Was für ein Rad ist das London Eye?,Riesenrad,,,
835,In welchem Nachbarstaat heißt der wichtigste Aktienindex CAC 40?,Frankreich,,,
836,In Schwechat findet man den internationalen Flughafen welcher europäischen Hauptstadt?,Wien,,,
837,Welches Fragewort fragt nach einem Zeitpunkt?,Wann,,,
838,"Um an einer Konklave teilzunehmen, muss man welches kirchliche Amt innehaben?",Kardinal,,,
839,Welche Scheibe nannten die alten Ägypter Aton?,Sonnenscheibe,,,
840,In welcher Stadt wurde am 14. September 2021 das Deutsche Romantik-Museum eröffnet?,Frankfurt (am Main),,,
841,"Wie lautet das lateinische Gegenteil von ""contra""?",Pro,,,
842,Welche US-Detektivserie der 1980er-Jahre heißt wie eine große Champagner-Flasche?,Magnum,,,
843,"""Der Kuss"" heißt eine weltberühmte Marmorskulptur welches französischen Bildhauers?",Auguste Rodin,,,
844,Welcher englische König gründete 1348 den Hosenbandorden?,"Edward III., Eduard III., Eduard, Edward",,,
845,Aus welchem Land stammte der Countrysänger Waylon Jennings?,"USA, Vereinigte Staaten von Amerika",,,
846,Wer war vor Robert Habeck der erste Vizekanzler von Bündnis 90/Die Grünen?,Joschka Fischer,,,
847,Wer schaffte es 2021 als erster deutscher Basketballverein in die Playoffs der Superliga EuroLeague einzuziehen?,Bayern München,,,
848,"Seinen Roman ""Middlesex"" veröffentlichte 2002 der US-Amerikaner Jeffrey ...?",Eugenides,,,
849,In Österreich zum Tier des Jahres 2021 ernannt wurde der Sieben-...?,"schläfer, Siebenschläfer",,,
850,Welches Film-Musical mit John Travolta spielt an der Rydell High School?,"Grease, Grease - Schmiere",,,
851,Teile der Pflanze Crocus sativus werden unter welchem Namen in der Küche verwendet?,Safran,,,
852,Welcher Ägypter war der erste muslimische Nobelpreisträger?,"Sadat, Anwar al-Sadat",,,
853,"Wem schaut man laut einem Sprichwort nicht ins Maul, wenn er geschenkt ist?",Gaul,,,
854,"Welches giftgrüne Kleidungsstück wurde 2006 durch den Film ""Borat"" bekannt?","Mankini, Männerbadeanzug, String-Badeanzug",,,
855,"Aus ""Unser Sandmännchen"" kennt man die Zeichentrick-Serie ""Piggeldy und ...""?",Frederick,,,
856,Mit welchem Ruder kann ein Pilot das Flugzeug auf der horizontalen Ebene drehen?,Seitenruder,,,
857,Auf welchem Kontinent liegt Norwegen?,"Europa, Eurasien",,,
858,"Was für ein Turm ist die Anlage ""Alte Weser"" vor Bremerhaven?",Leuchtturm,,,
859,In welchem Nachbarstaat heißt der wichtigste Aktienindex ATX?,Österreich,,,
860,Das Schwarzhäupterhaus ist eine Touristenattraktion welcher osteuropäischen Hauptstadt?,Riga,,,
861,Welches Fragewort fragt nach einem bestimmten Ort?,Wo,,,
862,Welches christliche Fest wird am Wochenende nach dem ersten Frühlingsvollmond begangen?,Ostern,,,
863,Was für eine Art Hügel ist ein Tumulus?,"Hügelgrab, Grabhügel",,,
864,"Mit ""Z"" beginnen weltweit nur zwei Ländernamen: Zypern und die ...?",Zentralafrikanische Republik,,,
865,"Eine beliebte Gameshow mit Harry Wijnvoord heißt ""Der Preis ist ...""?",heiß,,,
866,Demoskopie lautet das Fremdwort für welche Forschung?,Meinungsforschung,,,
867,Welche Puppenmacherin war die Mutter des Kinderbuchautors Max Kruse?,Käthe Kruse,,,
868,Welche natürlichen Gerbstoffe verhindern die Oxidation von Weinen?,Tannine,,,
869,Laut Artikel 3 des Grundgesetzes sind alle Menschen vor dem Gesetz ...?,gleich,,,
870,"Was besteht aus vielen Schuppen und hängt an Fichte, Tanne und Kiefer?",Zapfen,,,
871,"Als was kommt einem im Büroalltag das Wort ""Verdana"" öfter unter?","Schriftart, Font, Schrift",,,
872,"Zu welcher Literaturepoche zählt man Goethes Frühwerk ""Götz von Berlichingen""?",Sturm und Drang,,,
873,Welches Adjektiv benutzt man für die drittbeste Schulnote?,Befriedigend,,,
874,"Den Song ""Unchained Melody"" von den Righteous Brothers kennt man aus dem Film ""Ghost - Nachricht von ...""?",Sam,,,
875,"Wie heißt der Malzessig, den es in Großbritannien traditionell zu Fish and Chips gibt?","Vinegar, Malt vinegar",,,
876,"Als welche Hand bezeichnet man umgangssprachlich Bund, Länder und Gemeinden?",Öffentliche Hand,,,
877,"""Michelle"" und ""Julia"" heißen zwei Songs welcher weltberühmten Liverpooler Popband?",The Beatles,,,
878,Welches Wort bezeichnet schmutziges Geschirr?,Abwasch,,,
879,"Welcher Heinrich schrieb die Satire ""Nicht nur zur Weihnachtszeit"", in der eine Familie täglich den Heiligen Abend zelebriert?",Böll,,,
880,Der Totenkopf ist die höchste Erhebung welches süddeutschen Mittelgebirges?,Kaiserstuhl,,,
881,Wie werden die senkrechten Balken eines Fußballtores genannt?,"Pfosten, Torpfosten",,,
882,"Frauen sind schwanger, weibliche Säugetiere sind ...?","trächtig, tragend",,,
883,Was bezeichnet sowohl eine einfache Behausung als auch eine industrielle Anlage zur Metallgewinnung?,Hütte,,,
884,In welcher Stadt in Israel ist der Carmel-Markt ein berühmter Obst- und Gemüsemarkt?,Tel Aviv,,,
885,Einen Hackbraten nennt man auch Falschen ...?,Hasen,,,
886,In welchem verwandtschaftlichen Verhältnis stehen die Mitglieder der irischen Band The Corrs?,"Geschwister, Brüder und Schwestern",,,
887,"Seit fast 60 Jahren berichtet samstags über Fußball und Co ""Das aktuelle ...""?",Sportstudio,,,
888,Mit welcher Flüssigkeit beschäftigt sich die Hydrologie?,Wasser,,,
889,"""Heul doch nicht, du lebst ja noch"" heißt ein Roman der deutschen Kinder- und Jugendbuchautorin Kirsten ...?",Boie,,,
890,"Welches Alkaloid kommt unter anderem in Tee, Cola, Mate und Kakao vor?",Koffein,,,
891,"Die ersten vier Wörter im 1. Artikel der Menschenrechte lauten: ""Alle Menschen sind ...""?",frei,,,
892,Welche Tiere sind nach ihrer sich windenden Fortbewegung benannt?,Schlangen,,,
893,Welches Fremdwort bezeichnet die festgelegte Reihenfolge aller Schriftzeichen einer Sprache?,Alphabet,,,
894,"Zu welcher Literaturepoche zählt man Goethes Werke, die im Anschluss an seine Italienreise entstanden?",Weimarer Klassik,,,
895,Welches Adjektiv benutzt man für die zweitschlechteste Schulnote?,Mangelhaft,,,
896,"Den Song ""Love Is All Around"" von Wet Wet Wet hört man im Film ""Vier Hochzeiten und ein ...""?",Todesfall,,,
897,Welches französische Wort bezeichnet sehr kleine eingelegte Gewürzgürkchen?,Cornichons,,,
898,"Was früher vor allem Volkszählung genannt wurde, heißt 2022 in Deutschland offiziell ...?",Zensus,,,
899,"""Don't Shut Me Down"" war 2021 eine der Single-Auskoppelungen welcher schwedischen Popband?",ABBA,,,
900,Welches Verb benennt den Thronverzicht eines Monarchen?,"Abdanken, Zurücktreten",,,
901,"Im Gedicht welches Heinrichs heißt es: ""Gott gab uns nur einen Mund, weil zwei Mäuler ungesund""?",Heine,,,
902,Welcher rund 1.500 Kilometer lange Gebirgszug bildet die Hauptwasserscheide Italiens?,Apennin,,,
903,Welche Grundfarbe hat in der Regel ein Baseball?,Weiß,,,
904,Gudrun Penndorf übersetzte zahlreiche Bände der Comicreihe Lucky ...?,Luke,,,
905,In welcher europäischen Hauptstadt steht die anglikanische Kirche St. Martin-in-the-Fields?,London,,,
906,Wer wurde 2009 die erste Generalsekretärin der Bundes-SPD?,Andrea Nahles,,,
907,"Michael Douglas spielte im Film ""Wall Street"" den Broker Gordon ...?",Gekko,,,
908,In welchem südeuropäischen Land liegt der große Gletschersee Lago de Sanabria?,Spanien,,,
909,Nach welchem Germanenstamm ist blinde Zerstörungswut benannt?,Vandalen,,,
910,Zum Kochen einer Forelle blau gibt man dem Wasser Weißwein und welche Flüssigkeit hinzu?,"Essig, Weißweinessig",,,
911,"Das Gemälde ""Der falsche Spiegel"" schuf welcher Surrealist?",René Magritte,,,
912,"Ein Album welcher Liverpooler Band trägt den Titel ""Rubber Soul""?",The Beatles,,,
913,Wer erreichte 2021 als erster deutscher Fußballtrainer das Finale des englischen FA Cups?,Thomas Tuchel,,,
914,Welche Rochen haben einen peitschenartigen giftigen Schwanz?,"Stachelrochen, Stechrochen",,,
915,Laut Bibel ist welcher Sohn Amrams der Bruder von Moses?,"Aaron, Aron, Aharon, Ahron",,,
916,In welcher Metropole findet man das Vergnügungsviertel Pigalle?,Paris,,,
917,"Zu welchem Filmgenre zählt ""Maria, ihm schmeckt's nicht""?","Komödie, Romantische Komödie, Liebeskomödie",,,
918,"Wie nennt man das Trinkwasser, das durch Brunnen an die Erdoberfläche gebracht wird?","Grundwasser, Brunnenwasser",,,
919,Wie hieß die Frau des Objekt- und Verpackungskünstlers Christo?,Jeanne-Claude,,,
920,"Was ist auf dem Verkehrszeichen ""Flugbetrieb"" abgebildet?","Flugzeug, Jumbo",,,
921,"""Just Like You"" heißt ein Liebesroman des Briten Nick ...?",Hornby,,,
922,Welche ägyptische Halbinsel heißt wie ein heiliger Berg in der Bibel?,Sinai,,,
923,In welchem US-Bundesstaat wurde 2021 mit Kathy Hochul erstmals eine Frau Gouverneurin?,New York,,,
924,Das Fell von Wookie Chewbacca hat welche Farbe?,Braun,,,
925,"Welche Nudel ist meist aus Kartoffelteig und der Wortherkunft nach ""gerollt""?",Schupfnudel(n),,,
926,Welche Raubkatze klettert auf die höchsten Berge der Welt?,Schneeleopard,,,
927,Das Oberverwaltungsgericht Rheinland-Pfalz hat seinen Sitz in welcher Stadt?,Koblenz,,,
928,Vor welchem Übergang steht ein Warnkreuz an der Straße?,Bahn(-übergang),,,
929,"Wenn in München Regen fällt, fließt das Wasser irgendwann in welches Meer?",Schwarzes Meer,,,
930,Ron Weasley heißt der beste Freund von Harry ...?,Potter,,,
931,"Das 2011 eingeweihte, preisgekrönte Konzerthaus Harpa gilt als neues Wahrzeichen der isländischen Stadt ...?",Reykjavík,,,
932,Wie heißt die erste deutsche Bundesinnenministerin?,Nancy Faeser,,,
933,"Im Film ""Der Pate"" spielte Marlon Brando das Familienoberhaupt Don Vito ...?",Corleone,,,
934,Die Rocky Mountains liegen in den USA und welchem anderen Land?,Kanada,,,
935,Mit der Vertreibung des Etruskerkönigs Tarquinius Superbus begann welche Republik?,"Römische Republik, Rom",,,
936,Wie nennt man ein Ragout aus hellem Fleisch in weißer Soße mit cremiger Konsistenz?,"Frikassee, Hühnerfrikassee",,,
937,"Welcher André schuf das Gemälde ""Harlekin und Pierrot""?",Derain,,,
938,"""Don't Shut Me Down"" heißt ein Song welcher schwedischen Popband?",ABBA,,,
939,Welcher Fußballverein der Premier League wurde 2021 zum siebten Mal englischer Meister?,Manchester City,,,
940,Welche großen Wespen werden in der Biologie Vespa crabro genannt?,Hornissen,,,
941,Wer ist in der Bibel der Bruder von Marta und Maria von Bethanien?,Lazarus (von Bethanien),,,
942,In welcher Metropole befindet sich der Hyde Park samt Speakers' Corner?,London,,,
943,"Zu welchem Genre zählt man den Stummfilm ""Der Planwagen""?","Western, Planwagenwestern",,,
944,Welches Fremdwort bezeichnet den Klangkörper eines Instruments?,Korpus,,,
945,Aus Mexiko stammte das Künstlerehepaar Frida Kahlo und Diego ...?,Rivera,,,
946,Auf welchem kulturellen Gegenstand findet man einen Klappentext?,"Buch, Buchumschlag",,,
947,"""Der Knacks"" heißt ein autobiografisch geprägtes Buch von Roger ...?",Willemsen,,,
948,Der Mytikas ist der höchste Gipfel welches griechischen Hochgebirges?,Olymp,,,
949,Im Sommer 2021 wurde der Wissenschaftler Alar Karis der neue Staatspräsident von ...?,Estland,,,
950,"Welche Farbe hat das Gewand von Prinzessin Leia Organa im Film ""Krieg der Sterne""?",Weiß,,,
951,"Was gehört auf jeden Fall auf ein Schinkenbrot, damit es ein Strammer Max wird?",Spiegelei,,,
952,In welchem Land kam der Architekt Norman Foster zur Welt?,Großbritannien,,,
953,Welcher Franzose wurde 2-mal hintereinander von der Gewerkschaft der Profifußballer zum besten Spieler der Premier League gewählt?,Thierry Henry,,,
954,"Auf welcher Insel liegt Jakarta, die Hauptstadt von Indonesien?",Java,,,
955,Was misst ein Thermometer?,"Temperatur, Fieber",,,
956,"In welchem Bundesland befindet sich die 1204 gegründete Stammburg der Wittelsbacher ""Burg Trausnitz""?",Bayern,,,
957,Wie heißt in der römischen Mythologie der Gott des Schlafes?,Somnus,,,
958,Welcher Brite war bis 1947 der letzte Kaiser von Indien?,"Georg VI., Prince Albert (Frederick Arthur George), Duke of York",,,
959,Mit welcher Fastnacht beginnt in den Hochburgen der Straßenkarneval?,Weiberfastnacht,,,
960,"Was wird auch als das ""Blut der Bäume"" bezeichnet?","Harz, Baumharz",,,
961,"Wie nennt man Märchen, die zuerst über Generationen mündlich überliefert wurden?",Volksmärchen,,,
962,"Welchem Joseph gelang 1820 die Erstbesteigung der Zugspitze, Deutschlands höchstem Berg?","Naus, Joseph Naus, Josef Naus",,,
963,"Als welcher Nagel wird jemand bezeichnet, der als Lückenbüßer herhalten muss?",Notnagel,,,
964,Der Hochwanner ist der zweithöchste Berg welches Landes?,Deutschland,,,
965,Welcher Unai gewann 2021 zum vierten Mal als Trainer die UEFA Europa League?,Emery,,,
966,"Welche TV-Serie wird mit den Worten angekündigt: ""Ihr Revier ist die Autobahn; ihr Tempo ist mörderisch""?","Cobra 11, Alarm für Cobra 11  Die Autobahnpolizei, Alarm für Cobra 11, AfC11, C11",,,
967,Wie nennt man kurz den seit Punkerzeiten beliebten Irokesenhaarschnitt?,Iro,,,
968,Phnom Penh heißt die Hauptstadt welches Königreichs?,Kambodscha,,,
969,Welchen Beruf übt Heftroman-Held John Sinclair laut dem Titel der Gruselserie aus?,Geisterjäger,,,
970,In der griechischen Mythologie ist der Vater der Zauberin Kirke ein Sonnengott namens ...?,Helios,,,
971,An welchem Wochentag kam es am 4. September 1989 in Leipzig zu einer geschichtsträchtigen Demo?,Montag,,,
972,Kenia erlangte im Dezember 1963 die Unabhängigkeit von ...?,"Großbritannien, England, UK, Vereinigtes Königreich",,,
973,"""Gesegnet & verflucht"" heißt das 2021 veröffentlichte Album von Nino ...?",de Angelo,,,
974,In welchem Land kam der Architekt und Bildhauer Santiago Calatrava zur Welt?,Spanien,,,
975,Welcher Belgier wurde 2-mal hintereinander von der Gewerkschaft der Profifußballer zum besten Spieler der Premier League gewählt?,Kevin de Bruyne,,,
976,"Auf welcher Insel liegt Papeete, die Hauptstadt von Französisch-Polynesien?",Tahiti,,,
977,Aerosolpartikel schweben in der ...?,Luft,,,
978,"In welchem Bundesland befindet sich das berühmte, im Oktober 1913 eingeweihte Völkerschlachtdenkmal?",Sachsen,,,
979,Wie heißt im Alten Testament der königliche Vater von Absalom?,David,,,
980,Wer war die letzte protestantische Königin des Hauses Stuart?,"Anna, Anne",,,
981,"Welches bierselige ""größte Volksfest der Welt"" wurde für 2021 abgesagt?","Oktoberfest, Münchner Oktoberfest",,,
982,Welches in Europa heimische Nagetier baut Burgen?,Biber,,,
983,"Wer Lyrik liebt, weiß: Bei einem sogenannten Elfchen handelt es sich um ein kurzes ...?","Gedicht, Poem",,,
984,Welcher Franz wurde in der zweiten Hälfte des 18. Jahrhunderts durch seine heilenden Hände berühmt?,Mesmer,,,
985,"Welche Bremse ist redensartlich angezogen, wenn man etwas sehr langsam tut?",Handbremse,,,
986,Die Hekla zählt zu den aktivsten Vulkanen des Inselstaates ...?,Island,,,
987,Welcher Arnd war Biathlon-Olympiasieger und beendete 2021 seine Karriere?,Peiffer,,,
988,In welcher US-Fernsehserie agiert Marsh Tracy als der smarte Chef einer Tierstation in Afrika?,Daktari,,,
989,Welche geringelte Form bekommen Kopfhaare durch eine Dauerwelle?,Locken,,,
990,Odessa ist eine Millionenstadt welches Landes?,Ukraine,,,
991,Der Handlungsreisende Emil Erpel ist der legendäre Gründer welcher Stadt?,Entenhausen,,,
992,"Welcher babylonische König wurde laut Bibel durch einen Finger gewarnt, der auf eine Wand schrieb?","Belsazar, Belschazzar, Belsazer",,,
993,Welche Knollenfrucht wurde im 19. Jahrhundert zu einem der Hauptnahrungsmittel in Europa?,Kartoffel(n),,,
994,Der Friedensnobelpreis wird in welchem Land verliehen?,Norwegen,,,
995,Wie nennt man den italienischen Fluss Tevere bei uns?,Tiber,,,
996,"Welchen russischen Zaren spielt Lars Eidinger in dem Film ""Mathilde""?",Nikolaus II.,,,
997,"Einer der berühmtesten Romane von Charles Dickens heißt ""David ...""?","Copperfield, David Copperfield",,,
998,"Wer sich zwischen Dingen entscheiden muss, der hat redensartlich die Qual der ...?",Wahl,,,
999,Was für Tiere sind die Zeichentrickfiguren Piggeldy und Frederick?,Schweine,,,
1000,Auf welcher Burg entschuldigte sich König Heinrich IV. bei Papst Gregor VII.?,Canossa,,,
1001,"Was ist Powidl, womit Germknödel traditionell gefüllt sind?","Pflaumenmus, Pflaumenmarmelade",,,
1002,"Der Name welcher nordischen Hauptstadt endet auf ""-hagen""?",Kopenhagen,,,
1003,"Wie nennt man das meist kleine, private Stück Grünfläche zwischen Haus und Straße?",Vorgarten,,,
1004,Wie nennt man den aktuellen Handelspreis einer Aktie?,"(Börsen-)Kurs, Aktienkurs, Notierung, Marktwert",,,
1005,"Wer malte das Bild ""Der arme Poet"", das in München zu sehen ist?",Carl Spitzweg,,,
1006,"Welcher Fisch versteckt sich im Wort ""Hörsaal""?",Aal,,,
1007,Welche Nonne gründete um 1150 das Kloster Rupertsberg?,Hildegard von Bingen,,,
1008,Der Hadsch ist eine Pilgerfahrt in welche Stadt?,Mekka,,,
1009,"Die beiden Stimmen, die man bei der Bundestagswahl hat, vereinen die Mehrheitswahl und die ...?",Verhältniswahl,,,
1010,In welchem Land wird die olympische Fackel entzündet?,Griechenland,,,
1011,"Wie nennt man eine Person, die einen Cyberangriff auf einen Computer durchführt?",Hacker,,,
1012,"Aus den Buchstaben des Wortes ""Limbo"" lässt sich welches Synonym von ""beweglich"" bilden?",Mobil,,,
1013,"""Beim Bau der Chinesischen Mauer"" heißt eine berühmte Erzählung welches Prager Autors?",Franz Kafka,,,
1014,Welche Welle wird häufig in einem Friseursalon angeboten?,"Dauerwelle, Wasserwelle",,,
1015,"Wer vor einer Prüfung nicht alles lernt, beweist den redensartlichen Mut zur ...?",Lücke,,,
1016,"Welche Bewegung zur Musik steckt im Wort ""Akzeptanz""?",Tanz,,,
1017,Wie heißt das kleinste spanischsprachige Land in Südamerika?,Uruguay,,,
1018,"Wie in Christmetten an Heiligabend gepredigt, gebar Maria den kleinen Jesus in was für einem Gebäude?",Stall (von Bethlehem),,,
1019,Welches alkoholische Getränk kommt in einen Irish Coffee?,Whiskey,,,
1020,"Zu den Feuerzeichen unserer 12 Tierkreiszeichen zählen Widder, Löwe und ...?",Schütze,,,
1021,Totalen Unsinn bezeichnet man redensartlich auch als Quatsch mit ...?,Soße,,,
1022,"Was für ein Wurm ist Max aus der TV-Serie ""Die Biene Maja""?",Regenwurm,,,
1023,Auf welcher Burg soll im Jahr 1206 der sagenhafte Sängerkrieg stattgefunden haben?,Wartburg,,,
1024,"Welche Pastasorte besteht aus großen, dicken, glatten Röhren?",Cannelloni,,,
1025,"Der Name welcher nordischen Hauptstadt beginnt mit ""Stock-""?",Stockholm,,,
1026,Wie nennt man im weiteren Sinn jedes vegetationslose Gebiet der Erde?,Wüste,,,
1027,Was für eine Art Bank ist die deutsche Bundesbank laut Gesetz?,Zentralbank,,,
1028,"Welcher Maler wird auch ""Sphinx von Delft"" genannt?","(Jan, Johannes) Vermeer",,,
1029,"Welcher Fisch versteckt sich im Wort ""Mittelachse""?",Lachs,,,
1030,Georg VI. war der Vater welcher berühmten Thronfolgerin?,"Queen Elizabeth II., Königin Elisabeth II., Elizabeth Alexandra Mary",,,
1031,Der höchste Feiertag im Judentum ist der Jom ...?,"Kippur, Jom Kippur",,,
1032,Wie heißt in der Bundesrepublik Deutschland das unterste politische Gemeinwesen?,"Kommune, Gemeinde",,,
1033,In welchem Land findet der Skimarathon Wasalauf statt?,Schweden,,,
1034,"Wie nennt man jemanden, der etwas finden möchte, sowie bei Kameras die Vorrichtung zum Anvisieren?",Sucher,,,
1035,"Aus den Buchstaben des Wortes ""Mofas"" lässt sich welches Synonym von ""prima"" bilden?",Famos,,,
1036,"""Demetrius"" heißt das letzte, Fragment gebliebene Drama welches Autors?",(Friedrich) Schiller,,,
1037,"Welche farbenfrohen Hemden werden auch ""Aloha-Shirt"" genannt?","Hawaii-Hemden, Hawaii Shirts",,,
1038,"Erkennt man auch die Nachteile, sieht man redensartlich die Kehrseite der ...?",Medaille,,,
1039,"Welche Tageszeit steckt im Wort ""Sommernachtstraum""?","Nacht, nachts, Sommernacht",,,
1040,Welches Land Vorderasiens hat die größte Fläche?,Saudi-Arabien,,,
1041,"Wie nennt man die Könige, die zur Geburt Jesu Gold, Weihrauch und Myrrhe überreichten?","Die Heiligen Drei Könige, Caspar, Melchior und Balthasar",,,
